Date/Time;Wind Direction (°);Wind_Speed (m/s);Theoretical_Power (KWh);Active_Power (kW);Error;Service;FaultMsg;Status Text
26 03 2018 10:30;183;9,407;241;231,99;0;;;
26 03 2018 10:40;189;9,723;261;191,79;0;;;
26 03 2018 10:50;191;9,239;230;91,19;0;;;
26 03 2018 11:00;192;7,967;151;14,64;0;;;
26 03 2018 11:10;197;9,276;23;2,14;0;;;
26 03 2018 11:20;0;8,434;179;125,86;0;;;
26 03 2018 11:30;215;7,313;116;0;0;;;
26 03 2018 11:40;214;6,755;909;353,94;0;;;
26 03 2018 11:50;0;5,822;567;0;0;;;
26 03 2018 12:00;0;4,659;3;60,58;0;;;
26 03 2018 12:10;215;4,078;138;136,85;0;;;
26 03 2018 12:20;217;3,57;60;698,48;0;;;
26 03 2018 12:30;218;4,175;156;743,24;0;;;
26 03 2018 12:40;22;3,38;397;57,74;0;;;
26 03 2018 12:50;219;4,708;267;229,2;0;;;
26 03 2018 13:00;218;5,219;392;304,04;0;;;
26 03 2018 13:10;207;5,066;352;251,75;0;;;
26 03 2018 13:20;208;4,899;311;249,2;0;;;
26 03 2018 13:30;185;5,033;344;260,78;0;;;
26 03 2018 13:40;187;4,448;211;420,28;0;;;
26 03 2018 13:50;190;3,921;11;716,51;0;;;
26 03 2018 14:00;200;4,841;298;273,86;0;;;
26 03 2018 14:10;212;5,674;520;560,04;0;;;
26 03 2018 14:20;219;6,381;760;741,23;0;;;
26 03 2018 14:30;21;5,882;586;547,8;0;;;
26 03 2018 14:40;202;5,611;501;458,4;0;;;
26 03 2018 14:50;205;6,666;873;867,63;0;;;
26 03 2018 15:00;20;6,861;955;888,25;0;;;
26 03 2018 15:10;195;5,782;554;530,78;0;;;
26 03 2018 15:20;204;6,439;782;734,71;0;;;
26 03 2018 15:30;202;5,804;561;555,05;0;;;
26 03 2018 15:40;197;6,26;72;624,45;0;;;
26 03 2018 15:50;199;6,865;956;981,69;0;;;
26 03 2018 16:00;195;8,214;165;152,46;0;;;
26 03 2018 16:10;193;8,054;156;831,2;0;;;
26 03 2018 16:20;20;9,176;226;0;0;;;
26 03 2018 16:30;19;9,896;273;0;0;;;
26 03 2018 16:40;189;1,124;335;0;0;;;
26 03 2018 16:50;19;9,715;260;0;0;;;
26 03 2018 17:00;187;9,658;256;179,04;0;;;
26 03 2018 17:10;191;8,577;188;182,67;0;;;
26 03 2018 17:20;196;9,606;252;218,54;0;;;
26 03 2018 17:30;19;7,876;146;141,54;0;;;
26 03 2018 17:40;187;7,179;11;976,02;0;;;
26 03 2018 17:50;189;6,87;958;956,09;0;;;
26 03 2018 18:00;193;6,707;89;863,76;0;;;
26 03 2018 18:10;194;7,251;113;933,3;0;;;
26 03 2018 18:20;196;7,7;136;109,55;0;;;
26 03 2018 18:30;195;7,046;104;848,34;0;;;
26 03 2018 18:40;190;7,319;117;91,29;0;;;
26 03 2018 18:50;190;6,689;882;708,37;0;;;
26 03 2018 19:00;193;6,504;808;732;0;;;
26 03 2018 19:10;206;6,946;992;100,71;0;;;
26 03 2018 19:20;213;8,029;155;151,68;0;;;
26 03 2018 19:30;210;7,985;152;138,01;0;;;
26 03 2018 19:40;211;8,792;201;18,04;0;;;
26 03 2018 19:50;209;8,804;20;0;0;;;
26 03 2018 20:00;211;9,293;233;213,49;0;;;
26 03 2018 20:10;21;9,517;245;224,05;0;;;
26 03 2018 20:20;206;1,022;292;255,86;0;;;
26 03 2018 20:30;205;0,112;33;291,36;0;;;
26 03 2018 20:40;207;1,096;326;287,93;0;;;
26 03 2018 20:50;206;1,141;340;305,25;0;;;
26 03 2018 21:00;204;1,155;343;306,2;0;;;
26 03 2018 21:10;203;1,128;34;307,01;0;;;
26 03 2018 21:20;205;1,128;336;309,71;0;;;
26 03 2018 21:30;208;1,152;343;315,72;0;;;
26 03 2018 21:40;207;1,208;353;339,32;0;;;
26 03 2018 21:50;207;1,232;356;344,73;0;;;
26 03 2018 22:00;208;1,368;0;359,39;0;;;
26 03 2018 22:10;21;1,283;360;357,73;0;;;
26 03 2018 22:20;203;1,389;0;360,27;0;;;
26 03 2018 22:30;203;1,45;0;360,35;0;;;
26 03 2018 22:40;203;1,501;0;36,03;0;;;
26 03 2018 22:50;203;1,586;0;36,03;0;;;
26 03 2018 23:00;202;1,553;0;3,6;0;;;
26 03 2018 23:10;204;1,618;0;360,29;0;;;
26 03 2018 23:20;21;0,165;0;360,18;0;;;
26 03 2018 23:30;21;1,482;0;360,29;0;;;
26 03 2018 23:40;209;0,136;0;35,14;0;;;
26 03 2018 23:50;22;1,544;0;355,36;0;;;
27 03 2018 00:00;23;1,344;0;347,86;0;;;
27 03 2018 00:10;237;1,015;288;248,22;0;;;
27 03 2018 00:20;241;1,042;303;2,82;0;;;
27 03 2018 00:30;226;1,128;336;316,36;0;;;
27 03 2018 00:40;220;1,188;350;336,83;0;;;
27 03 2018 00:50;227;1,091;324;81,41;0;;;
27 03 2018 01:00;225;9,961;277;118,31;0;;;
27 03 2018 01:10;238;1,131;3;300,63;0;;;
27 03 2018 01:20;233;1,281;359;34,55;0;;;
27 03 2018 01:30;233;1,428;0;359,4;0;;;
27 03 2018 01:40;226;1,975;0;360,15;0;;;
27 03 2018 01:50;22;1,846;0;360,19;0;;;
27 03 2018 02:00;220;1,513;0;3,6;0;;;
27 03 2018 02:10;224;1,501;0;360,3;0;;;
27 03 2018 02:20;228;1,448;0;360,17;0;;;
27 03 2018 02:30;218;1,381;0;359,18;0;;;
27 03 2018 02:40;211;1,401;0;0,04;0;;;
27 03 2018 02:50;207;1,49;0;360,36;0;;;
27 03 2018 03:00;206;1,348;0;358,57;0;;;
27 03 2018 03:10;211;1,372;0;359,1;0;;;
27 03 2018 03:20;212;1,361;0;360,35;0;;;
27 03 2018 03:30;209;1,572;0;360,3;0;;;
27 03 2018 03:40;207;0,171;0;0,36;0;;;
27 03 2018 03:50;209;0,175;0;360,3;0;;;
27 03 2018 04:00;207;1,718;0;360,3;0;;;
27 03 2018 04:10;205;1,725;0;360,27;0;;;
27 03 2018 04:20;205;1,772;0;360,32;0;;;
27 03 2018 04:30;203;1,816;0;360,36;0;;;
27 03 2018 04:40;202;1,744;0;360,37;0;;;
27 03 2018 04:50;204;1,689;0;360,34;0;;;
27 03 2018 05:00;206;1,725;0;360,35;0;;;
27 03 2018 05:10;203;0,171;0;360,38;0;;;
27 03 2018 05:20;204;1,632;0;360,39;0;;;
27 03 2018 05:30;202;1,539;0;360,33;0;;;
27 03 2018 05:40;202;1,457;0;360,35;0;;;
27 03 2018 05:50;204;1,421;0;3,6;0;;;
27 03 2018 06:00;204;1,336;0;360,22;0;;;
27 03 2018 06:10;203;0,13;360;#VÆRDI!;0;;;
27 03 2018 06:20;199;1,288;360;35,84;0;;;
27 03 2018 06:30;197;1,294;360;359,53;0;;;
27 03 2018 06:40;196;1,303;0;359,8;0;;;
27 03 2018 06:50;196;1,291;360;359,27;0;;;
27 03 2018 07:00;197;1,184;35;347,33;0;;;
27 03 2018 07:10;195;0,119;351;347,97;0;;;
27 03 2018 07:20;194;1,166;346;332,67;0;;;
27 03 2018 07:30;196;1,049;306;281,06;0;;;
27 03 2018 07:40;194;1,098;327;308,37;0;;;
27 03 2018 07:50;198;8,899;208;20,6;0;;;
27 03 2018 08:00;20;8,611;190;194,29;0;;;
27 03 2018 08:10;206;1,029;296;0,26;0;;;
27 03 2018 08:20;205;1,207;353;336,46;0;;;
27 03 2018 08:30;202;1,179;35;327,26;0;;;
27 03 2018 08:40;20;1,118;333;29,79;0;;;
27 03 2018 08:50;206;1,222;355;320,05;0;;;
27 03 2018 09:00;209;1,166;346;319,4;0;;;
27 03 2018 09:10;210;1,04;302;266,62;0;;;
27 03 2018 09:20;207;1,091;324;295,35;0;;;
27 03 2018 09:30;208;0,013;360;331,84;0;;;
27 03 2018 09:40;208;1,088;323;287,14;0;;;
27 03 2018 09:50;215;1,15;342;0;0;;;
27 03 2018 10:00;219;1,076;32;284,19;0;;;
27 03 2018 10:10;217;0,011;337;297,42;0;;;
27 03 2018 10:20;220;1,121;334;303,47;0;;;
27 03 2018 10:30;216;0,122;354;336,4;0;;;
27 03 2018 10:40;214;1,218;355;325,24;0;;;
27 03 2018 10:50;212;1,217;355;32,84;0;;;
27 03 2018 11:00;217;1,361;0;354,16;0;;;
27 03 2018 11:10;219;1,19;350;325,21;0;;;
27 03 2018 11:20;215;1,031;297;268,92;0;;;
27 03 2018 11:30;218;1,152;343;315,35;0;;;
27 03 2018 11:40;213;1,165;346;3,23;0;;;
27 03 2018 11:50;212;1,041;302;0,27;0;;;
27 03 2018 12:00;216;9,914;274;231,26;0;;;
27 03 2018 12:10;2;9,189;227;206,04;0;;;
27 03 2018 12:20;209;8,778;200;188,76;0;;;
27 03 2018 12:30;208;7,956;150;151,54;0;;;
27 03 2018 12:40;215;9,834;268;2,45;0;;;
27 03 2018 12:50;210;1,115;33;310,99;0;;;
27 03 2018 13:00;224;1,41;0;356,6;0;;;
27 03 2018 13:10;244;1,155;343;328,28;0;;;
27 03 2018 13:20;23;9,421;242;233,44;0;;;
27 03 2018 13:30;228;1,338;0;0,36;0;;;
27 03 2018 13:40;243;1,081;320;28,4;0;;;
27 03 2018 13:50;25;8,656;193;201,26;0;;;
27 03 2018 14:00;260;8,18;163;156,34;0;;;
27 03 2018 14:10;267;6,958;997;10,22;0;;;
27 03 2018 14:20;26;6,44;783;759,55;0;;;
27 03 2018 14:30;259;8,485;0;176,19;0;;;
27 03 2018 14:40;258;0,893;210;215,86;0;;;
27 03 2018 14:50;253;7,871;146;14,37;0;;;
27 03 2018 15:00;0;8,607;189;178,44;0;;;
27 03 2018 15:10;248;8,2;165;164,96;0;;;
27 03 2018 15:20;242;0,11;327;313,92;0;;;
27 03 2018 15:30;249;1,03;296;266,78;0;;;
27 03 2018 15:40;236;7,394;120;125,67;0;;;
27 03 2018 15:50;234;8,298;17;172,52;0;;;
27 03 2018 16:00;232;8,18;163;165,48;0;;;
27 03 2018 16:10;231;8,591;188;186,75;0;;;
27 03 2018 16:20;230;8,963;212;0,22;0;;;
27 03 2018 16:30;228;9,745;262;242,47;0;;;
27 03 2018 16:40;228;1,077;319;3,02;0;;;
27 03 2018 16:50;226;1,093;325;311,02;0;;;
27 03 2018 17:00;224;1,307;0;359,05;0;;;
27 03 2018 17:10;225;1,313;0;357,18;0;;;
27 03 2018 17:20;223;1,183;349;353,04;0;;;
27 03 2018 17:30;222;1,143;340;340,78;0;;;
27 03 2018 17:40;223;1,128;336;321,77;0;;;
27 03 2018 17:50;225;1,186;350;34,91;0;;;
27 03 2018 18:00;228;1,23;356;354,96;0;;;
27 03 2018 18:10;23;9,952;276;25,87;0;;;
27 03 2018 18:20;231;7,808;142;157,44;0;;;
27 03 2018 18:30;233;9,712;260;250,83;0;;;
27 03 2018 18:40;239;9,252;231;220,86;0;;;
27 03 2018 18:50;238;8,512;184;185,85;0;;;
27 03 2018 19:00;231;1,061;312;293,65;0;;;
27 03 2018 19:10;23;9,618;25;244,34;0;;;
27 03 2018 19:20;227;1;28;25,55;0;;;
27 03 2018 19:30;233;0,875;198;197,12;0;;;
27 03 2018 19:40;251;0,764;133;121,38;0;;;
27 03 2018 19:50;236;6,58;84;826,77;0;;;
27 03 2018 20:00;230;0,745;1;132,35;0;;;
27 03 2018 20:10;240;7,172;110;11,26;0;;;
27 03 2018 20:20;230;8,504;183;176,13;0;;;
27 03 2018 20:30;227;9,023;216;0;0;;;
27 03 2018 20:40;225;8,146;161;838,24;0;;;
27 03 2018 20:50;238;8,22;166;0;0;;;
27 03 2018 21:00;233;7,631;133;0;0;;;
27 03 2018 21:10;229;7,26;114;0;0;;;
27 03 2018 21:20;234;6,781;920;0;0;;;
27 03 2018 21:30;225;6,762;912;0;0;;;
27 03 2018 21:40;226;6,405;769;0;0;;;
27 03 2018 21:50;220;6,043;639;0;0;;;
27 03 2018 22:00;217;6,389;763;0;0;;;
27 03 2018 22:10;212;6,461;79;0;0;;;
27 03 2018 22:20;218;6,797;927;0;0;;;
27 03 2018 22:30;220;6,914;978;0;0;;;
27 03 2018 22:40;226;6,905;974;0;0;;;
27 03 2018 22:50;233;6,774;918;0;0;;;
27 03 2018 23:00;230;6,447;785;0;0;;;
27 03 2018 23:10;22;6,608;849;535,98;0;;;
27 03 2018 23:20;215;6,659;870;70,18;0;;;
27 03 2018 23:30;214;6,607;849;661,7;0;;;
27 03 2018 23:40;22;7,088;106;822,92;0;;;
27 03 2018 23:50;213;7,142;11;816,47;0;;;
28 03 2018 00:00;21;7,431;122;993,22;0;;;
28 03 2018 00:10;21;7,077;105;880,06;0;;;
28 03 2018 00:20;204;7,25;113;882,82;0;;;
28 03 2018 00:30;203;7,737;138;104,84;0;;;
28 03 2018 00:40;202;8,147;162;0;0;;;
28 03 2018 00:50;204;0,793;149;123,33;0;;;
28 03 2018 01:00;207;8,216;166;134,18;0;;;
28 03 2018 01:10;208;7,965;151;120,7;0;;;
28 03 2018 01:20;204;7,499;126;955,24;0;;;
28 03 2018 01:30;201;6,815;935;731,85;0;;;
28 03 2018 01:40;20;6,567;832;628,77;0;;;
28 03 2018 01:50;199;6,75;907;716,35;0;;;
28 03 2018 02:00;203;6,743;904;773,82;0;;;
28 03 2018 02:10;204;6,322;738;622,56;0;;;
28 03 2018 02:20;199;6,275;721;539,76;0;;;
28 03 2018 02:30;195;6,006;626;494,54;0;;;
28 03 2018 02:40;193;5,45;455;345,79;0;;;
28 03 2018 02:50;194;5,674;520;402,64;0;;;
28 03 2018 03:00;192;6,061;645;479,28;0;;;
28 03 2018 03:10;193;6,119;665;513,4;0;;;
28 03 2018 03:20;0;6,172;684;499,43;0;;;
28 03 2018 03:30;18;5,708;531;400,06;0;;;
28 03 2018 03:40;183;5,317;42;0,03;0;;;
28 03 2018 03:50;175;4,818;293;218,02;0;;;
28 03 2018 04:00;174;5,381;435;314,59;0;;;
28 03 2018 04:10;175;6,327;740;562,48;0;;;
28 03 2018 04:20;174;6,584;839;669,93;0;;;
28 03 2018 04:30;17;5,839;57;467,03;0;;;
28 03 2018 04:40;169;5,68;522;426,84;0;;;
28 03 2018 04:50;168;6,059;644;500,44;0;;;
28 03 2018 05:00;168;0,672;896;714,01;0;;;
28 03 2018 05:10;167;6,825;939;762,82;0;;;
28 03 2018 05:20;165;5,978;618;488,8;0;;;
28 03 2018 05:30;157;4,796;287;215,47;0;;;
28 03 2018 05:40;153;4,027;128;132,57;0;;;
28 03 2018 05:50;152;0,367;731;880,89;0;;;
28 03 2018 06:00;15;3,161;232;239,1;0;;;
28 03 2018 06:10;150;2,23;0;0;0;;;
28 03 2018 06:20;15;2,394;0;0;0;;;
28 03 2018 06:30;16;3,161;232;0;0;;;
28 03 2018 06:40;16;3,211;263;725,6;0;;;
28 03 2018 06:50;154;2,39;0;239,26;0;;;
28 03 2018 07:00;161;2,646;0;400,99;0;;;
28 03 2018 07:10;169;2,645;0;0;0;;;
28 03 2018 07:20;173;4,127;147;425,26;0;;;
28 03 2018 07:30;174;0,379;909;838,14;0;;;
28 03 2018 07:40;171;2,344;0;#VÆRDI!;0;;;
28 03 2018 07:50;20;2,021;0;0;0;;;
28 03 2018 08:00;203;2,428;0;0;0;;;
28 03 2018 08:10;177;3,051;178;426,36;0;;;
28 03 2018 08:20;204;3,045;176;733,02;0;;;
28 03 2018 08:30;200;2,342;0;168,27;0;;;
28 03 2018 08:40;191;5,053;349;30,37;0;;;
28 03 2018 08:50;187;3,661;721;863,16;0;;;
28 03 2018 09:00;214;2,384;0;152,53;0;;;
28 03 2018 09:10;338;2,171;0;0;0;;;
28 03 2018 09:20;352;2,409;0;0;0;;;
28 03 2018 09:30;356;2,102;0;0;0;;;
28 03 2018 09:40;355;2,608;0;0;0;;;
28 03 2018 09:50;354;2,181;0;0;0;;;
28 03 2018 10:00;347;2,962;0;0;0;;;
28 03 2018 10:10;345;2,708;0;0;0;;;
28 03 2018 10:20;352;2,679;0;0;0;;;
28 03 2018 10:30;356;2,65;0;0;0;;;
28 03 2018 10:40;350;1,915;0;0;0;;;
28 03 2018 10:50;320;2,099;0;0;0;;;
28 03 2018 11:00;45;2,505;0;0;0;;;
28 03 2018 11:10;35;2,331;0;0;0;;;
28 03 2018 11:20;140;2,636;0;0;0;;;
28 03 2018 11:30;277;3,482;501;0;0;;;
28 03 2018 11:40;273;3,661;721;0;0;;;
28 03 2018 11:50;245;3,63;679;0;0;;;
28 03 2018 12:00;360;0,323;277;0;0;;;
28 03 2018 12:10;99;3,484;503;0;0;;;
28 03 2018 12:20;358;3,675;741;0;0;;;
28 03 2018 12:30;17;3,218;268;0;0;;;
28 03 2018 12:40;207;3,014;16;0;0;;;
28 03 2018 12:50;206;3,169;237;0;0;;;
28 03 2018 13:00;125;3,168;237;0;0;;;
28 03 2018 13:10;356;3,856;102;0;0;;;
28 03 2018 13:20;66;3,33;353;0;0;;;
28 03 2018 13:30;289;3,068;185;0;0;;;
28 03 2018 13:40;0;4,931;319;0;0;;;
28 03 2018 13:50;273;5,512;472;0;0;;;
28 03 2018 14:00;92;0,687;958;0;0;;;
28 03 2018 14:10;320;5,879;585;313,11;0;;;
28 03 2018 14:20;94;5,471;461;338,84;0;;;
28 03 2018 14:30;68;6,28;722;550,26;0;;;
28 03 2018 14:40;178;6,107;661;522,23;0;;;
28 03 2018 14:50;211;6,667;87;663,67;0;;;
28 03 2018 15:00;270;6,483;799;619,77;0;;;
28 03 2018 15:10;199;6,996;101;695,97;0;;;
28 03 2018 15:20;265;6,966;100;81,9;0;;;
28 03 2018 15:30;166;6,174;684;578,62;0;;;
28 03 2018 15:40;76;5,942;605;515,88;0;;;
28 03 2018 15:50;109;6,615;85;847,75;0;;;
28 03 2018 16:00;50;6,61;850;853,6;0;;;
28 03 2018 16:10;184;6,975;100;101,04;0;;;
28 03 2018 16:20;5;7,222;112;112,42;0;;;
28 03 2018 16:30;86;6,802;929;958,32;0;;;
28 03 2018 16:40;161;7,435;1;122,41;0;;;
28 03 2018 16:50;191;6,997;101;969,86;0;;;
28 03 2018 17:00;167;7,123;107;104,23;0;;;
28 03 2018 17:10;182;7,6;131;143,16;0;;;
28 03 2018 17:20;163;8,528;185;179,93;0;;;
28 03 2018 17:30;218;0;151;145,86;0;;;
28 03 2018 17:40;167;8,593;189;178,12;0;;;
28 03 2018 17:50;145;8,03;15;155,92;0;;;
28 03 2018 18:00;36;9,342;237;240,76;0;;;
28 03 2018 18:10;39;1,032;298;283,12;0;;;
28 03 2018 18:20;83;9,649;255;250,46;0;;;
28 03 2018 18:30;46;8,674;194;201,82;0;;;
28 03 2018 18:40;61;8,677;194;191,98;0;;;
28 03 2018 18:50;44;8,76;199;203,71;0;;;
28 03 2018 19:00;37;9,122;222;22,67;0;;;
28 03 2018 19:10;68;9,681;258;245,64;0;;;
28 03 2018 19:20;110;9,403;241;237,03;0;;;
28 03 2018 19:30;96;9,116;22;2,27;0;;;
28 03 2018 19:40;92;9,063;218;22,9;0;;;
28 03 2018 19:50;46;0,871;196;209,97;0;;;
28 03 2018 20:00;80;0,972;261;2,54;0;;;
28 03 2018 20:10;53;8,903;208;218,24;0;;;
28 03 2018 20:20;109;9,349;237;229,16;0;;;
28 03 2018 20:30;145;9,319;235;0,23;0;;;
28 03 2018 20:40;136;8,65;192;203,37;0;;;
28 03 2018 20:50;164;9,29;233;225,36;0;;;
28 03 2018 21:00;118;8,482;182;193,6;0;;;
28 03 2018 21:10;8;8,555;186;21,26;0;;;
28 03 2018 21:20;37;8,056;16;17,19;0;;;
28 03 2018 21:30;11;7,877;146;155,66;0;;;
28 03 2018 21:40;16;8,641;192;193,91;0;;;
28 03 2018 21:50;52;9,07;22;214,25;0;;;
28 03 2018 22:00;15;0,985;270;257,46;0;;;
28 03 2018 22:10;61;1,058;31;0,29;0;;;
28 03 2018 22:20;25;9,759;263;264,41;0;;;
28 03 2018 22:30;21;1,003;281;284,61;0;;;
28 03 2018 22:40;27;1,006;283;277,98;0;;;
28 03 2018 22:50;14;0,103;294;29,77;0;;;
28 03 2018 23:00;61;1,113;33;0,31;0;;;
28 03 2018 23:10;55;9,655;256;244,63;0;;;
28 03 2018 23:20;332;9,795;266;25,96;0;;;
28 03 2018 23:30;359;1,013;29;288,95;0;;;
28 03 2018 23:40;331;9,617;253;27,11;0;;;
28 03 2018 23:50;316;9,581;250;264,02;0;;;
29 03 2018 00:00;321;0,105;305;294,19;0;;;
29 03 2018 00:10;285;1,063;313;305,26;0;;;
29 03 2018 00:20;279;9,766;264;255,14;0;;;
29 03 2018 00:30;265;0,101;282;286,7;0;;;
29 03 2018 00:40;272;0,105;309;3,02;0;;;
29 03 2018 00:50;244;0,102;290;297,41;0;;;
29 03 2018 01:00;251;1,078;319;300,49;0;;;
29 03 2018 01:10;252;1,116;333;323,68;0;;;
29 03 2018 01:20;253;1,138;339;0,33;0;;;
29 03 2018 01:30;260;1,105;329;314,08;0;;;
29 03 2018 01:40;252;1,033;298;280,73;0;;;
29 03 2018 01:50;258;1,042;303;293,71;0;;;
29 03 2018 02:00;224;1,071;316;333,14;0;;;
29 03 2018 02:10;237;1,077;318;32,05;0;;;
29 03 2018 02:20;230;1,139;339;348,75;0;;;
29 03 2018 02:30;233;0,115;34;353,45;0;;;
29 03 2018 02:40;255;1,121;334;324,39;0;;;
29 03 2018 02:50;227;0,114;341;338,56;0;;;
29 03 2018 03:00;212;1,107;330;347,59;0;;;
29 03 2018 03:10;216;1,19;351;356,11;0;;;
29 03 2018 03:20;208;1,147;341;349,61;0;;;
29 03 2018 03:30;19;1,282;36;35,96;0;;;
29 03 2018 03:40;186;0,139;0;360,38;0;;;
29 03 2018 03:50;185;0,013;0;359,84;0;;;
29 03 2018 04:00;201;1,291;360;356,86;0;;;
29 03 2018 04:10;177;1,354;0;360,15;0;;;
29 03 2018 04:20;193;1,307;0;0;0;;;
29 03 2018 04:30;201;1,267;359;0,35;0;;;
29 03 2018 04:40;198;1,056;309;29,89;0;;;
29 03 2018 04:50;209;1,167;35;336,09;0;;;
29 03 2018 05:00;201;1,182;349;335,27;0;;;
29 03 2018 05:10;193;1,251;358;0,36;0;;;
29 03 2018 05:20;20;1,235;357;352,03;0;;;
29 03 2018 05:30;214;1,219;35;344,02;0;;;
29 03 2018 05:40;233;1,172;347;0,32;0;;;
29 03 2018 05:50;229;1,134;338;0,3;0;;;
29 03 2018 06:00;216;1,057;310;280,9;0;;;
29 03 2018 06:10;190;1,018;290;275,31;0;;;
29 03 2018 06:20;178;1,175;3;332,93;0;;;
29 03 2018 06:30;181;1,095;326;300,26;0;;;
29 03 2018 06:40;164;1,206;35;327,59;0;;;
29 03 2018 06:50;165;1,139;339;317,48;0;;;
29 03 2018 07:00;185;1,022;292;271,12;0;;;
29 03 2018 07:10;175;1,061;3;279,29;0;;;
29 03 2018 07:20;161;9,654;256;0,25;0;;;
29 03 2018 07:30;165;9,69;258;254,39;0;;;
29 03 2018 07:40;183;9,739;262;243,95;0;;;
29 03 2018 07:50;149;8,819;203;228,13;0;;;
29 03 2018 08:00;102;8,209;165;192,36;0;;;
29 03 2018 08:10;204;8,273;169;186,97;0;;;
29 03 2018 08:20;215;8,82;203;221,55;0;;;
29 03 2018 08:30;264;1,063;313;294,44;0;;;
29 03 2018 08:40;107;1,01;286;271;0;;;
29 03 2018 08:50;212;9,77;264;256,63;0;;;
29 03 2018 09:00;140;8,944;211;223,81;0;;;
29 03 2018 09:10;358;9,522;246;246,44;0;;;
29 03 2018 09:20;199;1,021;29;28,67;0;;;
29 03 2018 09:30;243;9,41;241;251,26;0;;;
29 03 2018 09:40;214;1,039;301;28,67;0;;;
29 03 2018 09:50;180;1,058;31;297,57;0;;;
29 03 2018 10:00;112;1,067;3;312,4;0;;;
29 03 2018 10:10;2;1,053;308;312,77;0;;;
29 03 2018 10:20;227;1,108;330;320,7;0;;;
29 03 2018 10:30;10;1,098;327;312,6;0;;;
29 03 2018 10:40;296;9,756;263;266,32;0;;;
29 03 2018 10:50;30;1,08;320;303,59;0;;;
29 03 2018 11:00;179;1,024;293;292,36;0;;;
29 03 2018 11:10;89;1,074;32;0,03;0;;;
29 03 2018 11:20;190;9,373;24;253,95;0;;;
29 03 2018 11:30;305;0,979;266;259,47;0;;;
29 03 2018 11:40;128;1,071;32;305,03;0;;;
29 03 2018 11:50;130;1,015;288;0;0;;;
29 03 2018 12:00;229;9,915;274;268,92;0;;;
29 03 2018 12:10;241;9,472;245;251,23;0;;;
29 03 2018 12:20;2;9,167;225;240,29;0;;;
29 03 2018 12:30;335;8,116;160;183,07;0;;;
29 03 2018 12:40;91;8,611;19;196,85;0;;;
29 03 2018 12:50;251;8,468;181;184,97;0;;;
29 03 2018 13:00;39;7,988;152;169,85;0;;;
29 03 2018 13:10;25;7,938;149;165,66;0;;;
29 03 2018 13:20;114;8,328;172;171,44;0;;;
29 03 2018 13:30;11;7,709;1;147,35;0;;;
29 03 2018 13:40;105;0,787;146;149,59;0;;;
29 03 2018 13:50;103;7,864;145;150,07;0;;;
29 03 2018 14:00;125;8,209;165;15,67;0;;;
29 03 2018 14:10;88;7,672;13;133,3;0;;;
29 03 2018 14:20;114;7,427;122;118,48;0;;;
29 03 2018 14:30;10;7,498;126;11,82;0;;;
29 03 2018 14:40;127;7,098;106;995,6;0;;;
29 03 2018 14:50;275;7,174;110;996,12;0;;;
29 03 2018 15:00;78;6,769;915;882,43;0;;;
29 03 2018 15:10;4;6,849;949;878,62;0;;;
29 03 2018 15:20;142;6,235;706;645,22;0;;;
29 03 2018 15:30;93;5,799;559;507,25;0;;;
29 03 2018 15:40;13;0,514;371;322,6;0;;;
29 03 2018 15:50;203;4,912;315;260,5;0;;;
29 03 2018 16:00;137;4,404;202;187,95;0;;;
29 03 2018 16:10;116;4,592;242;21,67;0;;;
29 03 2018 16:20;112;4,146;151;138,6;0;;;
29 03 2018 16:30;97;4,074;137;134,75;0;;;
29 03 2018 16:40;24;3,952;119;973,54;0;;;
29 03 2018 16:50;11;3,666;728;810,79;0;;;
29 03 2018 17:00;50;3,029;170;23,58;0;;;
29 03 2018 17:10;342;2,555;0;324,01;0;;;
29 03 2018 17:20;29;3,072;187;175,25;0;;;
29 03 2018 17:30;302;4,315;18;180,48;0;;;
29 03 2018 17:40;327;2,999;0;997,11;0;;;
29 03 2018 17:50;54;2,495;0;0;0;;;
29 03 2018 18:00;108;3,605;65;0;0;;;
29 03 2018 18:10;291;4,155;152;140,62;0;;;
29 03 2018 18:20;200;2,736;0;298,22;0;;;
29 03 2018 18:30;253;4,437;209;181,08;0;;;
29 03 2018 18:40;115;5,272;4;284,23;0;;;
29 03 2018 18:50;311;5,785;55;45,03;0;;;
29 03 2018 19:00;#VÆRDI!;6,246;710;615,23;0;;;
29 03 2018 19:10;146;6,198;693;602,88;0;;;
29 03 2018 19:20;4;5,893;6;484,36;0;;;
29 03 2018 19:30;358;5,432;450;345,84;0;;;
29 03 2018 19:40;357;5,494;467;343,93;0;;;
29 03 2018 19:50;356;5,521;475;346,26;0;;;
29 03 2018 20:00;359;5,299;413;315,67;0;;;
29 03 2018 20:10;56;0,484;297;220,26;0;;;
29 03 2018 20:20;#VÆRDI!;4,708;27;242,41;0;;;
29 03 2018 20:30;321;5,047;348;272,27;0;;;
29 03 2018 20:40;156;4,766;281;201,31;0;;;
29 03 2018 20:50;175;4,518;226;144,64;0;;;
29 03 2018 21:00;204;3,904;110;896,67;0;;;
29 03 2018 21:10;220;3,722;808;603,77;0;;;
29 03 2018 21:20;197;3,193;252;108,58;0;;;
29 03 2018 21:30;166;2,638;0;0;0;;;
29 03 2018 21:40;155;3,065;18;0;0;;;
29 03 2018 21:50;7;0,266;0;0;0;;;
